Date,Time,Room,Temperature (°C),Humidity (%),Light (lux),Motion
23/2/2026,06:09:02,Living Room,27.1,82.5,9.79,Not Detected
23/2/2026,06:09:01,Bedroom,26.9,82.4,6.2,Not Detected
23/2/2026,06:07:01,Bedroom,26.9,82.4,6.25,Not Detected
23/2/2026,06:06:53,Living Room,27.1,82.5,9.96,Not Detected
23/2/2026,06:05:02,Living Room,27.1,82.5,9.82,Not Detected
23/2/2026,06:05:01,Bedroom,26.9,82.4,6.08,Not Detected
23/2/2026,06:03:02,Bedroom,26.9,82.4,6.15,Not Detected
23/2/2026,06:02:54,Living Room,27.1,82.5,9.96,Not Detected
23/2/2026,06:01:58,Living Room,27.1,82.5,9.79,Not Detected
23/2/2026,06:01:57,Bedroom,26.9,82.4,6.01,Not Detected
23/2/2026,06:01:02,Bedroom,26.9,82.4,6.11,Not Detected
23/2/2026,06:00:54,Living Room,27.1,82.5,9.77,Not Detected
23/2/2026,06:00:08,Living Room,27.1,82.5,9.67,Not Detected
23/2/2026,06:00:07,Bedroom,26.9,82.4,6.18,Not Detected
23/2/2026,05:58:55,Living Room,27.1,82.5,9.77,Not Detected
23/2/2026,05:58:54,Bedroom,26.9,82.4,5.98,Not Detected
23/2/2026,05:58:00,Living Room,27.1,82.5,9.74,Not Detected
23/2/2026,05:57:59,Bedroom,27,82.4,6.06,Not Detected
23/2/2026,05:56:56,Living Room,27.1,82.5,9.79,Not Detected
23/2/2026,05:56:54,Bedroom,26.9,82.4,6.28,Not Detected
23/2/2026,05:56:00,Living Room,27.1,82.5,9.77,Not Detected
23/2/2026,05:55:59,Bedroom,26.9,82.4,6.2,Not Detected
23/2/2026,05:55:04,Bedroom,26.9,82.4,6.18,Not Detected
23/2/2026,05:54:56,Living Room,27.1,82.5,9.82,Not Detected
23/2/2026,05:54:01,Living Room,27.1,82.5,9.77,Not Detected
23/2/2026,05:54:00,Bedroom,26.9,82.4,5.96,Not Detected
23/2/2026,05:53:02,Bedroom,26.9,82.4,6.2,Not Detected
23/2/2026,05:52:54,Living Room,27.1,82.5,9.74,Not Detected
23/2/2026,05:51:59,Living Room,27.1,82.5,9.72,Not Detected
23/2/2026,05:51:58,Bedroom,26.9,82.4,6.2,Not Detected
23/2/2026,05:50:55,Living Room,27.1,82.5,9.79,Not Detected
23/2/2026,05:50:53,Bedroom,26.9,82.4,6.2,Not Detected
23/2/2026,05:50:00,Living Room,27.1,82.5,9.67,Not Detected
23/2/2026,05:49:59,Bedroom,27,82.5,6.2,Not Detected
23/2/2026,05:48:56,Living Room,27.1,82.6,9.77,Not Detected
23/2/2026,05:48:54,Bedroom,26.9,82.4,6.2,Not Detected
23/2/2026,05:48:00,Living Room,27.1,82.6,9.74,Not Detected
23/2/2026,05:47:59,Bedroom,27,82.5,6.35,Not Detected
23/2/2026,05:46:56,Living Room,27.1,82.6,9.82,Not Detected
23/2/2026,05:46:55,Bedroom,27,82.4,6.11,Not Detected
23/2/2026,05:46:01,Living Room,27.1,82.6,9.74,Not Detected
23/2/2026,05:45:59,Bedroom,27,82.4,6.11,Not Detected
23/2/2026,05:45:05,Living Room,27.1,82.6,9.72,Not Detected
23/2/2026,05:45:04,Bedroom,26.9,82.4,6.3,Not Detected
23/2/2026,05:44:00,Living Room,27.1,82.6,9.72,Not Detected
23/2/2026,05:43:59,Bedroom,27,82.4,5.86,Not Detected
23/2/2026,05:43:02,Bedroom,27,82.4,6.08,Not Detected
23/2/2026,05:42:54,Living Room,27.1,82.6,9.74,Not Detected
23/2/2026,05:41:59,Living Room,27.1,82.6,9.74,Not Detected
23/2/2026,05:41:58,Bedroom,26.9,82.4,6.13,Not Detected
23/2/2026,05:40:55,Living Room,27.1,82.6,9.77,Not Detected
23/2/2026,05:40:54,Bedroom,27,82.5,6.23,Not Detected
23/2/2026,05:40:09,Living Room,27.1,82.6,9.72,Not Detected
23/2/2026,05:40:08,Bedroom,27,82.5,6.11,Not Detected
23/2/2026,05:39:02,Bedroom,27,82.5,6.18,Not Detected
23/2/2026,05:38:55,Living Room,27.1,82.7,9.67,Not Detected
23/2/2026,05:38:00,Living Room,27.1,82.7,9.74,Not Detected
23/2/2026,05:37:58,Bedroom,27,82.5,6.15,Not Detected
23/2/2026,05:36:55,Living Room,27.1,82.7,9.74,Not Detected
23/2/2026,05:36:54,Bedroom,27,82.5,6.3,Not Detected
23/2/2026,05:36:00,Living Room,27.1,82.7,9.74,Not Detected
23/2/2026,05:35:59,Bedroom,27,82.5,6.01,Not Detected
23/2/2026,05:35:05,Living Room,27.1,82.7,9.69,Not Detected
23/2/2026,05:35:04,Bedroom,26.9,82.5,6.06,Not Detected
23/2/2026,05:34:01,Living Room,27.1,82.7,9.79,Not Detected
23/2/2026,05:33:59,Bedroom,26.9,82.6,6.01,Not Detected
23/2/2026,05:33:03,Living Room,27.1,82.7,9.67,Not Detected
23/2/2026,05:33:02,Bedroom,26.9,82.6,6.13,Not Detected
23/2/2026,05:31:00,Living Room,27.1,82.8,9.74,Not Detected
23/2/2026,05:30:59,Bedroom,26.9,82.6,5.93,Not Detected
23/2/2026,05:30:23,Living Room,27.1,82.8,9.74,Not Detected
23/2/2026,05:30:21,Bedroom,27,82.7,5.93,Not Detected
23/2/2026,05:28:02,Living Room,27.1,82.8,9.69,Not Detected
23/2/2026,05:28:01,Bedroom,27,82.7,6.06,Not Detected
23/2/2026,05:27:03,Living Room,27.2,82.8,9.74,Not Detected
23/2/2026,05:27:01,Bedroom,27,82.7,6.18,Not Detected
23/2/2026,05:25:57,Living Room,27.1,82.8,9.74,Not Detected
23/2/2026,05:25:56,Bedroom,27,82.7,5.89,Not Detected
23/2/2026,05:25:02,Living Room,27.1,82.8,9.62,Not Detected
